# r f1_num f1_exact f2_num f2_exact f3_num f3_exact
9.1 0.001626196362 0.002032317715 -0.1091704114 -0.2413875434 0.2713561345 0.1800361801
9.15 0.001519030534 0.00194382239 -0.1030881778 -0.2383882731 0.2577995045 0.1837474188
9.2 0.001414829835 0.001859124994 -0.0970077435 -0.2354077268 0.2439841664 0.1874092924
9.25 0.001313395068 0.001778065563 -0.09092929043 -0.2324463693 0.2299247087 0.1910213737
9.3 0.001214531792 0.001700490705 -0.0848529616 -0.2295046421 0.2156358743 0.194583264
9.35 0.00111804997 0.001626253337 -0.07877886164 -0.226582964 0.2011325444 0.1980945928
9.4 0.001023763638 0.001555212432 -0.0727070575 -0.223681731 0.1864297241 0.2015550173
9.45 0.0009314905571 0.001487232784 -0.06663757903 -0.2208013177 0.1715425264 0.2049642213
9.5 0.0008410518939 0.001422184768 -0.06057041964 -0.2179420774 0.1564861574 0.2083219153
9.55 0.0007522718859 0.001359944125 -0.05450553686 -0.2151043428 0.1412759011 0.2116278355
9.6 0.0006649775213 0.001300391741 -0.04844285292 -0.2122884268 0.1259271044 0.2148817434
9.65 0.0005789982177 0.001243413444 -0.04238225535 -0.2094946226 0.1104551624 0.218083425
9.7 0.000494165505 0.001188899804 -0.03632359749 -0.2067232046 0.09487550328 0.2212326908
9.75 0.0004103127085 0.001136745943 -0.03026669907 -0.2039744287 0.07920357389 0.2243293745
9.8 0.0003272746352 0.001086851349 -0.02421134671 -0.2012485331 0.06345482519 0.2273733332
9.85 0.0002448872597 0.001039119702 -0.01815729445 -0.1985457387 0.04764469786 0.2303644461
9.9 0.000162987411 0.0009934587047 -0.01210426422 -0.1958662493 0.03178860813 0.2333026146
9.95 8.141245899e-05 0.0009497799153 -0.00605194635 -0.1932102527 0.01590193373 0.2361877616
